,state_code,county_code,year,first_max,second_max,third_max,fourth_max
468,6,75,2011,70,66,63,58
469,6,75,2012,51,50,50,49
470,6,75,2013,70,70,68,63
471,6,75,2014,46,46,43,40
472,6,75,2015,146,105,104,94
473,6,75,2016,108,92,49,42
474,6,75,2017,190,157,141,108
475,6,75,2018,241,235,208,207
476,6,75,2019,45,44,40,37
477,6,77,2011,90,86,86,85
478,6,77,2012,149,83,80,80
479,6,77,2013,115,106,100,93
480,6,77,2014,100,97,85,81
481,6,77,2015,97,92,86,86
482,6,77,2016,101,87,82,74
483,6,77,2017,144,135,125,124
484,6,77,2018,305,277,251,236
485,6,77,2019,155,139,110,102
486,6,79,2011,84,83,82,81
487,6,79,2012,174,147,143,110
488,6,79,2013,136,122,111,95
489,6,79,2014,107,107,103,99
490,6,79,2015,95,95,93,90
491,6,79,2016,117,107,103,97
492,6,79,2017,91,88,83,81
493,6,79,2018,97,92,89,88
494,6,79,2019,170,103,97,95
495,6,81,2011,135,80,79,74
496,6,81,2012,71,64,56,55
497,6,81,2013,187,95,92,86
498,6,81,2014,87,72,66,66
499,6,81,2015,86,78,64,64
500,6,81,2016,54,50,43,38
501,6,81,2017,166,143,110,107
502,6,81,2018,181,172,171,166
503,6,81,2019,95,64,61,56
504,6,83,2011,91,83,77,60
505,6,83,2012,59,52,51,51
506,6,83,2013,111,86,73,62
507,6,83,2014,74,61,56,53
508,6,83,2015,45,45,45,45
509,6,83,2016,191,73,62,51
510,6,83,2017,48,43,30,29
511,6,83,2018,48,46,44,43
512,6,83,2019,60,52,50,45
513,6,85,2011,101,98,57,51
514,6,85,2012,83,57,56,51
515,6,85,2013,89,64,57,56
516,6,85,2014,335,257,189,173
517,6,85,2015,174,70,67,66
518,6,85,2016,105,87,76,74
519,6,85,2017,164,129,91,87
520,6,85,2018,126,126,122,113
521,6,85,2019,184,100,95,57
522,6,87,2011,46,40,38,37
523,6,87,2012,43,41,39,38
524,6,87,2013,206,63,53,40
525,6,87,2014,45,42,34,33
526,6,87,2015,55,40,36,35
527,6,87,2016,139,81,42,40
528,6,87,2017,99,91,90,88
529,6,87,2018,101,92,70,70
530,6,87,2019,257,227,34,34
531,6,89,2011,18.8,15.5,13.5,12.5
532,6,89,2012,26.4,17,16.9,13.9
533,6,89,2013,17.6,17.5,16.8,16.5
534,6,89,2014,22.2,13.8,11.8,10.5
535,6,89,2015,64.6,19.7,19.5,15.3
536,6,89,2016,12.6,12.5,11.2,11
537,6,89,2017,67.3,32.2,19.1,17.5
